Height, Width, X, Y, Weight, Density, Too Long, Too Small,,, X, Width
26,38,645,1287,248,0.251012146, False, False,,,645,38
37,47,687,1714,246,0.14146061, False, False,,,687,47
38,35,630,508,241,0.181203008, False, False,,,630,35
36,21,1002,538,239,0.316137566, False, False,,,1002,21
47,42,564,1334,233,0.118034448, False, False,,,564,42
19,18,1030,1155,224,0.65497076, False, False,,,1030,18
32,36,693,394,217,0.188368056, False, False,,,693,36
18,18,1027,1196,214,0.660493827, False, False,,,1027,18
40,38,557,1352,211,0.138815789, False, False,,,557,38
28,32,1323,1044,210,0.234375, False, False,,,1323,32
17,41,934,1465,208,0.298421808, False, False,,,934,41
16,18,1630,1715,198,0.6875, False, False,,,1630,18
19,16,1335,1098,195,0.641447368, False, False,,,1335,16
17,16,845,540,192,0.705882353, False, False,,,845,16
17,17,753,804,191,0.660899654, False, False,,,753,17
17,17,850,1676,190,0.657439446, False, False,,,850,17
18,15,1006,1690,188,0.696296296, False, False,,,1006,15
14,34,1391,1299,174,0.365546218, False, False,,,1391,34
15,30,1619,1669,171,0.38, False, False,,,1619,30
31,15,606,1262,163,0.350537634, False, False,,,606,15
16,16,1280,716,163,0.63671875, False, False,,,1280,16
16,14,678,857,160,0.714285714, False, False,,,678,14
34,23,568,1139,150,0.191815857, False, False,,,568,23
22,28,626,1722,148,0.24025974, False, False,,,626,28
14,16,685,740,146,0.651785714, False, False,,,685,16
17,19,633,378,143,0.442724458, False, False,,,633,19
41,35,540,1707,128,8.92E-02, False, False,,,540,35
13,15,3207,465,125,0.641025641, False, False,,,3207,15
15,13,3236,520,120,0.615384615, False, False,,,3236,13
19,20,579,1414,116,0.305263158, False, False,,,579,20
13,20,3240,619,111,0.426923077, False, False,,,3240,20
17,11,3223,447,109,0.582887701, False, False,,,3223,11
26,13,2227,990,102,0.301775148, False, False,,,2227,13
23,18,644,386,102,0.246376812, False, False,,,644,18
15,10,3187,322,97,0.646666667, False, False,,,3187,10
15,23,615,1734,92,0.266666667, False, False,,,615,23
18,14,1075,1751,90,0.357142857, False, False,,,1075,14
20,13,3237,602,89,0.342307692, False, False,,,3237,13
13,15,1088,1742,87,0.446153846, False, False,,,1088,15
10,16,1485,1011,79,0.49375, False, False,,,1485,16
15,12,3221,513,79,0.438888889, False, False,,,3221,12
8,18,1159,1433,78,0.541666667, False, False,,,1159,18
8,16,1292,1785,77,0.6015625, False, False,,,1292,16
12,13,3179,337,76,0.487179487, False, False,,,3179,13
9,13,1475,1206,74,0.632478632, False, False,,,1475,13
11,12,725,1655,73,0.553030303, False, False,,,725,12
22,18,613,528,73,0.184343434, False, False,,,613,18
19,14,567,1432,72,0.270676692, False, False,,,567,14
18,12,2281,1011,72,0.333333333, False, False,,,2281,12
11,12,570,1071,71,0.537878788, False, False,,,570,12
12,11,3202,227,66,0.5, False, False,,,3202,11
18,7,1533,1310,63,0.5, False, False,,,1533,7
14,8,1603,1551,62,0.553571429, False, False,,,1603,8
11,8,611,1303,56,0.636363636, False, False,,,611,8
8,16,3184,274,55,0.4296875, False, False,,,3184,16
14,7,1528,1435,54,0.551020408, False, False,,,1528,7
9,10,2209,1132,54,0.6, False, False,,,2209,10
11,11,637,1648,51,0.421487603, False, False,,,637,11
13,6,1928,1618,50,0.641025641, False, False,,,1928,6
13,9,3221,166,50,0.427350427, False, False,,,3221,9
12,8,3246,596,48,0.5, False, False,,,3246,8
10,11,565,1637,47,0.427272727, False, False,,,565,11
10,9,2377,981,47,0.522222222, False, False,,,2377,9
17,6,2438,1487,45,0.441176471, False, False,,,2438,6
8,9,3208,446,45,0.625, False, False,,,3208,9
9,9,3203,268,44,0.543209877, False, False,,,3203,9
10,7,3257,576,43,0.614285714, False, False,,,3257,7
11,6,1769,1399,42,0.636363636, False, False,,,1769,6
10,9,2319,1122,42,0.466666667, False, False,,,2319,9
8,11,3178,375,42,0.477272727, False, False,,,3178,11
17,6,945,854,41,0.401960784, False, False,,,945,6
8,15,622,363,41,0.341666667, False, False,,,622,15
8,9,586,909,40,0.555555556, False, False,,,586,9
6,17,3217,555,40,0.392156863, False, False,,,3217,17
11,6,3188,243,40,0.606060606, False, False,,,3188,6
12,7,3216,208,40,0.476190476, False, False,,,3216,7
11,5,1694,1242,39,0.709090909, False, False,,,1694,5
8,9,2172,1159,39,0.541666667, False, False,,,2172,9
12,6,2283,1052,38,0.527777778, False, False,,,2283,6
8,12,2200,946,38,0.395833333, False, False,,,2200,12
8,10,3179,322,37,0.4625, False, False,,,3179,10
6,14,2281,1168,35,0.416666667, False, False,,,2281,14
7,11,661,924,35,0.454545455, False, False,,,661,11
13,5,2440,1368,34,0.523076923, False, False,,,2440,5
12,5,2441,1227,34,0.566666667, False, False,,,2441,5
9,8,2326,1117,34,0.472222222, False, False,,,2326,8
12,5,2439,1433,33,0.55, False, False,,,2439,5
5,9,618,960,33,0.733333333, False, False,,,618,9
4,10,1072,1713,32,0.8, False, False,,,1072,10
10,6,1846,1624,32,0.533333333, False, False,,,1846,6
11,6,2438,1446,32,0.484848485, False, False,,,2438,6
8,6,1534,1280,32,0.666666667, False, False,,,1534,6
7,10,2294,960,32,0.457142857, False, False,,,2294,10
9,6,2349,1687,31,0.574074074, False, False,,,2349,6
7,12,659,1152,31,0.369047619, False, False,,,659,12
9,6,2371,965,31,0.574074074, False, False,,,2371,6
8,9,1185,1746,30,0.416666667, False, False,,,1185,9
11,4,2180,1679,30,0.681818182, False, False,,,2180,4
9,9,622,1666,30,0.37037037, False, False,,,622,9
11,6,2438,1457,30,0.454545455, False, False,,,2438,6
7,8,2310,1123,30,0.535714286, False, False,,,2310,8
7,5,2199,1035,30,0.857142857, False, False,,,2199,5
7,9,2340,1001,30,0.476190476, False, False,,,2340,9
6,10,2228,981,30,0.5, False, False,,,2228,10
9,7,1682,1612,29,0.46031746, False, False,,,1682,7
11,5,1296,1422,29,0.527272727, False, False,,,1296,5
14,5,1378,1321,29,0.414285714, False, False,,,1378,5
9,8,2032,1239,29,0.402777778, False, False,,,2032,8
10,6,2338,1109,29,0.483333333, False, False,,,2338,6
11,6,2197,1000,29,0.439393939, False, False,,,2197,6
10,6,2244,964,29,0.483333333, False, False,,,2244,6
7,9,2288,931,29,0.46031746, False, False,,,2288,9
10,6,2010,1652,28,0.466666667, False, False,,,2010,6
9,6,956,1762,27,0.5, False, False,,,956,6
7,11,616,1715,27,0.350649351, False, False,,,616,11
9,6,1370,1474,27,0.5, False, False,,,1370,6
10,6,1460,1182,27,0.45, False, False,,,1460,6
7,9,2425,967,27,0.428571429, False, False,,,2425,9
7,6,2282,922,27,0.642857143, False, False,,,2282,6
9,11,1151,1704,26,0.262626263, False, False,,,1151,11
10,5,1783,1000,26,0.52, False, False,,,1783,5
8,5,1614,1288,25,0.625, False, False,,,1614,5
10,5,2382,1112,25,0.5, False, False,,,2382,5
7,10,2291,1051,25,0.357142857, False, False,,,2291,10
10,5,872,858,25,0.5, False, False,,,872,5
11,5,2371,843,25,0.454545455, False, False,,,2371,5
8,7,3174,484,25,0.446428571, False, False,,,3174,7
9,7,3177,310,25,0.396825397, False, False,,,3177,7
8,6,1681,1656,24,0.5, False, False,,,1681,6
10,4,2438,1655,24,0.6, False, False,,,2438,4
10,5,1297,1399,24,0.48, False, False,,,1297,5
8,6,1696,1166,24,0.5, False, False,,,1696,6
11,4,1464,1104,24,0.545454545, False, False,,,1464,4
10,4,1700,1080,24,0.6, False, False,,,1700,4
9,4,1467,1034,24,0.666666667, False, False,,,1467,4
10,4,949,804,24,0.6, False, False,,,949,4
9,6,3169,467,24,0.444444444, False, False,,,3169,6
6,8,2160,1222,23,0.479166667, False, False,,,2160,8
7,7,2344,1161,23,0.469387755, False, False,,,2344,7
8,7,2297,1128,23,0.410714286, False, False,,,2297,7
8,11,2242,1003,23,0.261363636, False, False,,,2242,11
6,9,2203,986,23,0.425925926, False, False,,,2203,9
11,4,1783,983,23,0.522727273, False, False,,,1783,4
10,5,2306,902,23,0.46, False, False,,,2306,5
5,6,3215,487,23,0.766666667, False, False,,,3215,6
8,6,2094,1673,22,0.458333333, False, False,,,2094,6
9,4,1450,1504,22,0.611111111, False, False,,,1450,4
7,10,708,1396,22,0.314285714, False, False,,,708,10
11,4,1379,1309,22,0.5, False, False,,,1379,4
9,4,1462,1173,22,0.611111111, False, False,,,1462,4
8,5,1539,1156,22,0.55, False, False,,,1539,5
9,5,2175,1117,22,0.488888889, False, False,,,2175,5
6,9,2208,1043,22,0.407407407, False, False,,,2208,9
6,8,2335,930,22,0.458333333, False, False,,,2335,8
9,5,2375,905,22,0.488888889, False, False,,,2375,5
6,6,2384,851,22,0.611111111, False, False,,,2384,6
6,7,3224,375,22,0.523809524, False, False,,,3224,7
8,6,3228,144,22,0.458333333, False, False,,,3228,6
6,7,1376,1786,21,0.5, False, False,,,1376,7
8,5,2350,1710,21,0.525, False, False,,,2350,5
8,6,534,1699,21,0.4375, False, False,,,534,6
7,4,2438,1590,21,0.75, False, False,,,2438,4
8,6,2437,1536,21,0.4375, False, False,,,2437,6
8,5,2115,1149,21,0.525, False, False,,,2115,5
8,4,2259,1008,21,0.65625, False, False,,,2259,4
6,7,2224,963,21,0.5, False, False,,,2224,7
6,6,2380,841,21,0.583333333, False, False,,,2380,6
10,5,874,819,21,0.42, False, False,,,874,5
8,7,3248,608,21,0.375, False, False,,,3248,7
6,6,3174,366,21,0.583333333, False, False,,,3174,6
7,8,3190,363,21,0.375, False, False,,,3190,8
8,4,1681,1663,20,0.625, False, False,,,1681,4
6,9,548,1663,20,0.37037037, False, False,,,548,9
9,4,1683,1643,20,0.555555556, False, False,,,1683,4
7,4,1538,1219,20,0.714285714, False, False,,,1538,4
6,5,2302,1120,20,0.666666667, False, False,,,2302,5
6,6,2255,1029,20,0.555555556, False, False,,,2255,6
6,5,2323,1011,20,0.666666667, False, False,,,2323,5
6,5,2253,1011,20,0.666666667, False, False,,,2253,5
4,8,2241,995,20,0.625, False, False,,,2241,8
7,5,873,844,20,0.571428571, False, False,,,873,5
8,8,622,511,20,0.3125, False, False,,,622,8
5,7,3188,443,20,0.571428571, False, False,,,3188,7
7,6,3186,258,20,0.476190476, False, False,,,3186,6
6,7,3206,184,20,0.476190476, False, False,,,3206,7
7,5,1605,1600,19,0.542857143, False, False,,,1605,5
7,6,1523,1597,19,0.452380952, False, False,,,1523,6
8,5,2438,1551,19,0.475, False, False,,,2438,5
7,5,627,1502,19,0.542857143, False, False,,,627,5
9,4,616,1293,19,0.527777778, False, False,,,616,4
8,5,2328,1224,19,0.475, False, False,,,2328,5
8,4,1229,1206,19,0.59375, False, False,,,1229,4
7,5,1460,1193,19,0.542857143, False, False,,,1460,5
9,4,1230,1193,19,0.527777778, False, False,,,1230,4
7,4,856,1177,19,0.678571429, False, False,,,856,4
4,9,2218,989,19,0.527777778, False, False,,,2218,9
10,4,1315,977,19,0.475, False, False,,,1315,4
8,5,2371,908,19,0.475, False, False,,,2371,5
6,4,1243,901,19,0.791666667, False, False,,,1243,4
7,4,871,896,19,0.678571429, False, False,,,871,4
7,4,1099,766,19,0.678571429, False, False,,,1099,4
5,5,3180,267,19,0.76, False, False,,,3180,5
6,6,3254,157,19,0.527777778, False, False,,,3254,6
