Height, Width, X, Y, Weight, Density, Too Long, Too Small
8, 38, 572, 1304, 100, 0.32894736842105265, True, False
42, 5, 1105, 604, 99, 0.4714285714285714, True, False
45, 4, 2448, 600, 98, 0.5444444444444444, True, False
35, 6, 955, 635, 97, 0.46190476190476193, True, False
15, 10, 3187, 322, 97, 0.6466666666666666, False, False
44, 5, 1874, 536, 96, 0.43636363636363634, True, False
15, 23, 615, 1734, 92, 0.26666666666666666, False, False
40, 5, 1620, 1093, 92, 0.46, True, False
18, 14, 1075, 1751, 90, 0.35714285714285715, False, False
20, 13, 3237, 602, 89, 0.3423076923076923, False, False
37, 5, 885, 592, 88, 0.4756756756756757, True, False
13, 15, 1088, 1742, 87, 0.4461538461538462, False, False
25, 7, 1927, 1635, 86, 0.49142857142857144, True, False
23, 7, 2437, 1606, 86, 0.5341614906832298, True, False
31, 7, 1447, 1514, 86, 0.39631336405529954, True, False
37, 4, 1624, 982, 86, 0.581081081081081, True, False
35, 4, 1103, 660, 84, 0.6, True, False
10, 16, 1485, 1011, 79, 0.49375, False, False
15, 12, 3221, 513, 79, 0.4388888888888889, False, False
41, 4, 2286, 294, 79, 0.4817073170731707, True, False
8, 18, 1159, 1433, 78, 0.5416666666666666, False, False
31, 5, 1325, 732, 78, 0.5032258064516129, True, False
8, 16, 1292, 1785, 77, 0.6015625, False, False
31, 5, 1617, 1194, 77, 0.4967741935483871, True, False
33, 4, 1715, 575, 77, 0.5833333333333334, True, False
44, 3, 2367, 436, 77, 0.5833333333333334, True, False
40, 3, 2041, 298, 77, 0.6416666666666667, True, False
28, 4, 1704, 940, 76, 0.6785714285714286, True, False
12, 13, 3179, 337, 76, 0.48717948717948717, False, False
9, 13, 1475, 1206, 74, 0.6324786324786325, False, False
11, 12, 725, 1655, 73, 0.553030303030303, False, False
26, 6, 1624, 927, 73, 0.46794871794871795, True, False
22, 18, 613, 528, 73, 0.18434343434343434, False, False
19, 14, 567, 1432, 72, 0.2706766917293233, False, False
18, 12, 2281, 1011, 72, 0.3333333333333333, False, False
27, 6, 1097, 774, 72, 0.4444444444444444, True, False
11, 12, 570, 1071, 71, 0.5378787878787878, False, False
46, 3, 1641, 460, 70, 0.5072463768115942, True, False
22, 5, 1535, 1288, 69, 0.6272727272727273, True, False
31, 6, 1541, 1067, 69, 0.3709677419354839, True, False
34, 4, 1322, 815, 68, 0.5, True, False
28, 5, 1701, 1035, 66, 0.4714285714285714, True, False
12, 11, 3202, 227, 66, 0.5, False, False
18, 7, 1533, 1310, 63, 0.5, False, False
30, 4, 1466, 1060, 63, 0.525, True, False
34, 3, 1717, 536, 63, 0.6176470588235294, True, False
36, 3, 1878, 443, 63, 0.5833333333333334, True, False
14, 8, 1603, 1551, 62, 0.5535714285714286, False, False
27, 5, 1698, 1115, 62, 0.45925925925925926, True, False
21, 6, 1530, 1402, 60, 0.47619047619047616, True, False
25, 7, 867, 920, 60, 0.34285714285714286, True, False
30, 3, 2285, 349, 59, 0.6555555555555556, True, False
22, 5, 1375, 1364, 56, 0.509090909090909, True, False
11, 8, 611, 1303, 56, 0.6363636363636364, False, False
21, 5, 1475, 814, 56, 0.5333333333333333, True, False
25, 5, 884, 633, 56, 0.448, True, False
25, 5, 1545, 986, 55, 0.44, True, False
24, 4, 1469, 984, 55, 0.5729166666666666, True, False
22, 4, 1870, 728, 55, 0.625, True, False
8, 16, 3184, 274, 55, 0.4296875, False, False
21, 5, 1683, 1621, 54, 0.5142857142857142, True, False
14, 7, 1528, 1435, 54, 0.5510204081632653, False, False
24, 4, 1774, 1302, 54, 0.5625, True, False
9, 10, 2209, 1132, 54, 0.6, False, False
22, 4, 878, 756, 54, 0.6136363636363636, True, False
21, 4, 2449, 552, 54, 0.6428571428571429, True, False
